wine_id,winery,wine_name,year,rating,num_reviews,price,country,region,wine_type
77137,Vega Sicilia,Unico (Gran Reserva) 2025,2025,4.7,55763,615.65,España,Ribera del Duero,Red
77136,Vega Sicilia,Unico Reserva Especial Edición ,,4.7,15149,514.2,España,Ribera del Duero,Red
1876294,Dominio de Pingus,Pingus 2023,2023,4.6,7031,1450.0,España,Ribera del Duero,Red
84140,Bodegas El Nido,El Nido 2023,2023,4.7,6556,143.9,España,Jumilla,Red
77172,Pintia,Toro 2015,2015,4.5,6288,135.0,España,Toro,Red
1100735,Viñedos de Páganos,La Nieta 2023,2023,4.5,5770,121.0,España,Rioja,Red
7972,La Rioja Alta,Rioja Gran Reserva 904 2015,2015,4.5,5650,71.1,España,Rioja,Red
77171,Alión,Ribera del Duero 2017,2017,4.6,5010,120.69,España,Ribera del Duero,Red
1175427,Vega Sicilia,Valbuena 5º (Reserva) 2016,2016,4.7,4809,254.0,España,Ribera del Duero,Red
2839955,Juan Gil,Bruto 2023,2023,4.5,4573,37.4,España,Jumilla,Red
99584,Remírez de Ganuza,Trasnocho 2019,2019,4.5,4335,88.91,España,Rioja,Red
18717,Bodegas Roda,Cirsion Rioja 2021,2021,4.6,4305,213.0,España,Rioja,Red
1428373,Carmelo Rodero,Pago De Valtarreña 2022,2022,4.5,4060,53.9,España,Ribera del Duero,Red
79814,Dominio de Pingus,Flor de Pingus 2016,2016,4.5,3907,249.68,España,Ribera del Duero,Red
49754,Artadi,Viña El Pison 2022,2022,4.6,3681,349.0,España,Vino de España,Red
1379762,Teso La Monja,Alabaster 2023,2023,4.6,3611,179.0,España,Toro,Red
3293391,Sierra Cantabria,Finca el Bosque 2023,2023,4.5,3235,109.5,España,Rioja,Red
67064,Álvaro Palacios,L'Ermita Velles Vinyes Priorat 2020,2020,4.6,2874,1380.0,España,Priorato,Red
98838,Bodega Contador (Benjamín Romeo),Contador Rioja 2022,2022,4.6,2860,390.0,España,Rioja,Red
1221009,Sierra Cantabria,Amancio 2022,2022,4.5,2739,96.7,España,Rioja,Red
11001,Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Tinto 2011,2011,4.6,2672,477.5,España,Rioja,Red
100292,Hacienda Monasterio,Reserva Especial 2020,2020,4.5,2581,96.9,España,Ribera del Duero,Red
1994112,Benjamin de Rothschild - Vega Sicilia,Macán 2014,2014,4.5,2372,116.0,España,Rioja,Red
1219218,Bodegas El Nido,Clio 2020,2020,4.5,2020,97.9,España,Jumilla,Red
1164373,Clos Erasmus,Priorat 2023,2023,4.5,1963,255.0,España,Priorato,Red
7971,La Rioja Alta,Gran Reserva 890 2010,2010,4.5,1771,189.0,España,Rioja,Red
73592,Abadía Retuerta,Petit Verdot 2021,2021,4.5,1759,139.0,España,Abadía Retuerta,Red
736577,Viña Sastre,Pesus Ribera del Duero 2019,2019,4.5,1757,380.9,España,Ribera del Duero,Red
1189647,Alto Moncayo,Aquilon Garnacha 2018,2018,4.5,1714,125.0,España,Campo de Borja,Red
1129282,Aalto,PS (Pagos Seleccionados) 2020,2020,4.5,1675,219.31,España,Ribera del Duero,Red
1213831,Quinta de la Quietud,La Mula de la Quietud 2020,2020,4.5,1664,76.45,España,Toro,Red
83823,Bodegas Mas Alta,La Creu Alta 2020,2020,4.5,1609,96.8,España,Priorato,Red
1219509,Martinet,Camí Pesseroles 2022,2022,4.5,1315,82.75,España,Priorato,Red
4712965,Oxer Wines,Kalamity Rioja 2024,2024,4.5,1279,119.0,España,Rioja,Red
2162093,Clos Mogador,Priorat 2015,2015,4.5,1181,125.14,España,Priorato,Red
1696799,Artadi,El Carretil 2022,2022,4.5,1162,185.9,España,Vino de España,Red
1126964,Bodega Numanthia,Termanthia 2012,2012,4.6,1012,452.5,España,Toro,Red
2539047,Vall Llach,Mas de la Rosa 2023,2023,4.5,832,495.0,España,Priorato,Red
1370772,Pago de Carraovejas,El Anejón 2010,2010,4.5,831,325.0,España,Ribera del Duero,Red
4375272,Dominio del Águila,Gran Reserva Peñas Aladas 2019,2019,4.5,785,256.0,España,Ribera del Duero,Red
1450977,Teso La Monja,Tinto 2021,2021,4.7,778,1500.0,España,Toro,Red
99351,Castillo Perelada,Finca Garbet 2021,2021,4.5,721,127.0,España,Empordà,Red
1290160,Remírez de Ganuza,María Remírez de Ganuza 2019,2019,4.6,707,221.4,España,Rioja,Red
5599210,Álvaro Palacios,Quiñon de Valmira 2023,2023,4.5,690,440.0,España,Rioja,Red
8029511,Dominio de Cair,Cruz del Pendón 2023,2023,4.5,638,73.9,España,Ribera del Duero,Red
736588,Viña Sastre,Pago de Santa Cruz 2016,2016,4.5,624,95.95,España,Ribera del Duero,Red
1632340,Descendientes de J. Palacios,La Faraona Bierzo (Corullón) 2020,2020,4.6,585,1185.01,España,Bierzo,Red
5917220,Tresmano - Tr3smano,Tm 2021,2021,4.5,574,124.0,España,Ribera del Duero,Red
5443219,Dominio del Águila,Canta la Perdiz 2020,2020,4.5,534,325.0,España,Ribera del Duero,Red
7711572,Tomás Postigo,Quercus Pyrenacia Rebollo Tinto 2019,2019,4.7,523,142.0,España,Ribera del Duero,Red
1591090,Jaro,Sed de Caná 2019,2019,4.5,519,95.0,España,Ribera del Duero,Red
1163704,Bodegas Mauro,Mauro VS 2021,2021,4.5,513,74.55,España,Castilla y León,Red
3966393,Bodegas 6º Elemento - Vino Sexto Elemento,Respeto 2022,2022,4.5,504,32.95,España,Utiel-Requena,Red
11605,Emilio Moro,Malleolus de Valderramiro 2019,2019,4.5,451,104.95,España,Ribera del Duero,Red
4184137,Dominio de Cair,Pendón De La Aguilera 2021,2021,4.6,438,249.0,España,Ribera del Duero,Red
4347148,Álvaro Palacios,Les Aubaguetes Priorat 2022,2022,4.5,411,375.0,España,Priorato,Red
1479987,Matarromera,Ribera del Duero Prestigio Pago de las Solanas 2016,2016,4.5,403,259.0,España,Ribera del Duero,Red
4387135,Huerta de Albala,Taberner No. 1 2016,2016,4.5,375,105.9,España,Cádiz,Red
7188241,Tomás Postigo,Ribera del Duero Vinificación Integral Tinto 2019,2019,4.6,370,196.48,España,Ribera del Duero,Red
77816,Orben,Orben 2020,2020,4.5,365,24.5,España,Rioja,Red
4569097,Dominio del Bendito,Cuesta de las Musas Tinta de Toro 2019,2019,4.5,363,165.0,España,Toro,Red
7086363,Bodegas Amaren,El Regollar 2021,2021,4.5,338,75.4,España,Rioja,Red
1180183,Marqués de Griñon,AAA 2013,2013,4.5,336,167.89,España,Dominio de Valdepusa,Red
1139435,Pago de Carraovejas,Cuesta de Las Liebres 2019,2019,4.6,324,183.52,España,Ribera del Duero,Red
99588,Remírez de Ganuza,Gran Reserva 2004,2004,4.7,301,1049.0,España,Rioja,Red
7538767,Bodega Cerrón,Stratum Wines La Calera del Escaramujo 2023,2023,4.5,299,94.5,España,Jumilla,Red
5262176,Pago de Cirsus,LaA 2019,2019,4.5,282,36.8,España,Navarra,Red
1382462,Pago de Los Capellanes,Parcela El Picón Tinto 2010,2010,4.5,273,290.0,España,Ribera del Duero,Red
5806244,Sierra Cantabria,Mágico 2020,2020,4.7,259,489.0,España,Rioja,Red
4282272,Territorio Luthier,Territorio Luthier Reserva 2016,2016,4.5,254,65.0,España,Ribera del Duero,Red
736555,Viña Sastre,Regina Vides Ribera del Duero 2014,2014,4.5,242,159.9,España,Ribera del Duero,Red
14882,Callejo,Félix Callejo (Viñedos de la Familia) 2005,2005,4.5,231,337.59,España,Ribera del Duero,Red
8992888,Cuentaviñas,Los Yelsones 2023,2023,4.5,223,161.46,España,Rioja,Red
9048362,Bodegas Valduero,Una Cepa Premium 2015,2015,4.6,215,399.4,España,Ribera del Duero,Red
13265001,Juan Gil,Etiqueta Azul Blue Label Cuvée À 2023,2023,4.5,213,35.9,España,Jumilla,Red
11607,Emilio Moro,Malleolus de Sanchomartin 2020,2020,4.5,212,135.86,España,Ribera del Duero,Red
2022997,Dominio de Es,Viñas Viejas de Soria Ribera Del Duero 2018,2018,4.5,194,225.47,España,Ribera del Duero,Red
1126965,Bodegas Mauro,Terreus Paraje de Cueva Baja 2021,2021,4.5,180,104.92,España,Castilla y León,Red
7921,Arzuaga,Gran Reserva Ribera del Duero 2019,2019,4.5,166,84.5,España,Ribera del Duero,Red
7495,Bodegas Muga,Aro 2019,2019,4.5,166,262.0,España,Rioja,Red
